key,number_of_units,electricity_output_capacity (MW),heat_output_capacity (MW),full_load_hours,total_initial_investment_per_plant (Euros),fixed_operation_and_maintenance_costs_per_year (Euros),variable_operation_and_maintenance_costs_per_full_load_hour (Euros),wacc (factor),technical_lifetime (years),total_investment_over_lifetime_per_node (Euros)
energy_power_supercritical_ccs_waste_mix,0.0,55.56,0.0,0.0,313914000.0,0.0,64.99964399999999,0.04,20.0,0.0
energy_power_supercritical_coal,0.8685367921353124,800.0,0.0,221.75577851682363,790000000.0,19414400.0,1580.0,0.04,45.0,686144065.7868968
energy_power_supercritical_waste_mix,0.0,55.56,0.0,0.0,250020000.0,0.0,65.0,0.04,20.0,0.0
energy_power_transformer_lv_mv_electricity,15824.749762446405,0.36,0.0,8760.0,0.0,1999.279402,0.0,0.03,40.0,0.0
energy_power_transformer_mv_hv_electricity,208.86441778397077,44.0,0.0,8760.0,0.0,321203.8165,0.0,0.03,40.0,0.0
energy_power_turbine_hydrogen,0.0,150.0,0.0,0.0,80388228.75,927202.5,416.46845625,0.07,50.0,0.0
energy_power_turbine_network_gas,0.0,150.0,0.0,0.0,80388228.75,927202.5,416.46845625,0.04,50.0,0.0
energy_power_ultra_supercritical_ccs_coal,0.0,637.0,0.0,0.0,1521064123.124154,15872786.8852459,1382.49955528184,0.07,40.0,0.0
energy_power_ultra_supercritical_coal,2.911281719403677,800.0,0.0,6669.451908421394,1120000000.0,16000000.0,1382.49955528184,0.04,40.0,3260635525.732118
energy_power_ultra_supercritical_cofiring_coal,0.47126692903828044,730.434782608696,0.0,3453.9377284073794,1278260870.0,16000000.0,1382.49955528184,0.04,40.0,602402074.7147006
energy_power_ultra_supercritical_crude_oil,0.0,800.0,0.0,0.0,392000000.0,15059622.3692314,0.0,0.04,30.0,0.0
energy_power_ultra_supercritical_lignite,0.0,800.0,0.0,0.0,1027000000.0,19607800.0,2370.0,0.04,30.0,0.0
energy_power_ultra_supercritical_network_gas,3.1580526923954704,800.0,0.0,3.4085022486601324,316800000.0,1365600.0,1584.0,0.04,30.0,1000471092.950885
energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0.0,660.0,0.0,0.0,2428800000.0,21906185.0913642,2406.4,0.07,30.0,0.0
energy_power_wind_turbine_coastal,383.3333333333333,3.0,0.0,2644.0,4175962.5,147579.9,0.0,0.04,25.0,1600785625.0
energy_power_wind_turbine_inland,1100.0,3.0,0.0,2069.33333333333,4175962.5,147579.9,0.0,0.04,25.0,4593558750.0
